type,ms,gps_valid,lat,lon,gps_alt_mm,heading,fix_type,sats,imu_valid,ax,ay,az,gx,gy,gz,imu_temp_c,alt1_valid,alt1_pressure_mbar,alt1_temp_c,alt1_alt_m,alt2_valid,alt2_pressure_mbar,alt2_temp_c,alt2_alt_m
T,3580,1,353478849,-1178094812,622612,7271663,3,27,1,-0.230,-4.183,-8.672,0.006,-0.013,0.006,70.06,1,941.71,49.04,661.39,1,939.55,49.69,632.49
T,4156,1,353478844,-1178094814,622807,7271663,3,27,1,-0.230,-4.164,-8.696,0.007,-0.013,0.007,69.85,1,941.67,49.04,661.74,1,939.54,49.69,632.58
T,5234,1,353478841,-1178094816,622779,7271663,3,27,1,-0.215,-4.168,-8.715,0.010,-0.012,0.006,69.75,1,941.72,49.05,661.30,1,939.60,49.69,632.05
T,6275,1,353478838,-1178094818,622807,7271663,3,26,1,-0.230,-4.168,-8.686,0.006,-0.013,0.006,69.77,1,941.77,49.05,660.86,1,939.59,49.70,632.14
T,7258,1,353478827,-1178094827,622882,7271663,3,27,1,-0.206,-4.111,-8.767,0.004,-0.013,0.007,69.80,1,941.76,49.06,660.95,1,939.60,49.70,632.05
T,8235,1,353478818,-1178094832,622945,7271663,3,26,1,-0.220,-4.015,-8.839,0.017,-0.013,0.006,69.80,1,941.83,49.06,660.33,1,939.65,49.70,631.61
T,9277,1,353478814,-1178094834,623076,7271663,3,28,1,-0.225,-4.250,-8.700,0.009,-0.012,0.006,69.84,1,941.81,49.06,660.51,1,939.63,49.70,631.78
T,10155,1,353478814,-1178094833,623047,7271663,3,28,1,-0.225,-4.173,-8.758,0.004,-0.013,0.007,69.88,1,941.85,49.07,660.15,1,939.72,49.70,630.99
T,11237,1,353478814,-1178094832,622873,7271663,3,27,1,-0.211,-4.159,-8.696,0.010,-0.015,0.007,69.88,1,941.88,49.07,659.89,1,939.67,49.70,631.43
T,12222,1,353478814,-1178094831,622585,7271663,3,27,1,-0.220,-4.197,-8.748,0.010,-0.012,0.006,69.89,1,941.89,49.07,659.80,1,939.68,49.70,631.34
T,13264,1,353478814,-1178094830,622517,7271663,3,25,1,-0.225,-4.192,-8.753,0.010,-0.015,0.007,69.84,1,941.88,49.08,659.89,1,939.62,49.70,631.87
T,14141,1,353478813,-1178094828,622405,7271663,3,25,1,-0.211,-4.187,-8.681,0.009,-0.013,0.007,69.87,1,941.88,49.07,659.89,1,939.66,49.71,631.52
T,15219,1,353478812,-1178094828,622284,7271663,3,26,1,-0.220,-4.149,-8.763,0.006,-0.013,0.006,69.71,1,941.81,49.05,660.51,1,939.61,49.67,631.96
T,16263,1,353478804,-1178094832,622121,7271663,3,25,1,-0.206,-4.202,-8.672,0.010,-0.013,0.009,69.83,1,941.85,49.03,660.15,1,939.63,49.65,631.78
T,17247,1,353478794,-1178094835,621595,7271663,3,25,1,-0.215,-4.216,-8.705,0.006,-0.013,0.009,69.84,1,941.87,49.05,659.98,1,939.62,49.68,631.87
T,18232,1,353478779,-1178094841,621089,7271663,3,26,1,-0.215,-4.216,-8.686,0.009,-0.015,0.009,69.85,1,941.73,49.06,661.22,1,939.57,49.69,632.31
T,19211,1,353478783,-1178094841,620836,7271663,3,27,1,-0.220,-4.231,-8.667,0.009,-0.012,0.006,69.76,1,941.75,49.07,661.04,1,939.55,49.70,632.49
T,20250,1,353478788,-1178094841,621029,7271663,3,27,1,-0.220,-4.207,-8.715,0.004,-0.012,0.006,69.75,1,941.73,49.07,661.22,1,939.56,49.70,632.40
T,21228,1,353478791,-1178094840,621005,7271663,3,26,1,-0.220,-4.140,-8.715,0.009,-0.013,0.006,69.75,1,941.71,49.08,661.39,1,939.58,49.71,632.22
T,22212,1,353478792,-1178094843,620958,7271663,3,26,1,-0.234,-4.216,-8.700,0.005,-0.013,0.006,69.70,1,941.72,49.08,661.30,1,939.59,49.71,632.14
T,23254,1,353478790,-1178094847,621015,7271663,3,26,1,-0.225,-4.168,-8.696,0.005,-0.015,0.007,69.75,1,941.81,49.09,660.51,1,939.65,49.72,631.61
T,24233,1,353478788,-1178094849,621056,7271663,3,26,1,-0.220,-4.130,-8.700,0.001,-0.012,0.007,69.82,1,941.85,49.09,660.15,1,939.65,49.72,631.61
T,25211,1,353478788,-1178094850,621027,7271663,3,25,1,-0.225,-4.264,-8.681,0.005,-0.013,0.006,69.82,1,941.80,49.09,660.60,1,939.58,49.72,632.22
T,26189,1,353478790,-1178094848,620965,7271663,3,25,1,-0.220,-4.149,-8.719,0.006,-0.015,0.006,69.80,1,941.70,49.09,661.48,1,939.51,49.72,632.85
T,27331,1,353478792,-1178094846,620897,7271663,3,26,1,-0.234,-4.240,-8.700,0.006,-0.013,0.007,69.75,1,941.69,49.09,661.57,1,939.57,49.73,632.31
T,28210,1,353478790,-1178094846,620811,7271663,3,26,1,-0.230,-4.202,-8.719,0.007,-0.012,0.007,69.71,1,941.71,49.10,661.39,1,939.60,49.73,632.05
T,29187,1,353478791,-1178094844,620940,7271663,3,27,1,-0.230,-4.173,-8.719,0.009,-0.013,0.006,69.77,1,941.67,49.10,661.74,1,939.57,49.73,632.31
T,30229,1,353478790,-1178094843,620945,7271663,3,27,1,-0.220,-4.173,-8.710,0.007,-0.012,0.006,69.74,1,941.71,49.11,661.39,1,939.59,49.73,632.14
T,31208,1,353478785,-1178094847,621035,7271663,3,26,1,-0.230,-4.216,-8.696,0.009,-0.015,0.006,69.78,1,941.66,49.11,661.83,1,939.56,49.74,632.40
T,32187,1,353478783,-1178094849,621067,7271663,3,26,1,-0.244,-4.154,-8.772,0.009,-0.012,0.007,69.80,1,941.71,49.12,661.39,1,939.54,49.74,632.58
T,33170,1,353478783,-1178094849,621180,7271663,3,27,1,-0.220,-4.235,-8.691,0.013,-0.015,0.006,69.79,1,941.67,49.12,661.74,1,939.55,49.75,632.49
T,34213,1,353478784,-1178094849,621303,7271663,3,27,1,-0.225,-4.269,-8.633,-0.005,-0.013,0.007,69.76,1,941.72,49.12,661.30,1,939.57,49.75,632.31
T,35191,1,353478782,-1178094852,621333,7271663,3,26,1,-0.225,-4.235,-8.719,0.000,-0.012,0.007,69.80,1,941.71,49.13,661.39,1,939.57,49.75,632.31
T,36171,1,353478782,-1178094854,621433,7271663,3,26,1,-0.225,-4.207,-8.691,0.009,-0.013,0.007,69.81,1,941.74,49.14,661.13,1,939.57,49.76,632.31
T,37216,1,353478782,-1178094853,621540,7271663,3,26,1,-0.220,-4.140,-8.815,0.007,-0.012,0.006,69.83,1,941.79,49.14,660.69,1,939.60,49.76,632.05
T,38195,1,353478782,-1178094854,621576,7271663,3,26,1,-0.234,-4.154,-8.786,0.012,-0.013,0.007,69.82,1,941.72,49.14,661.30,1,939.55,49.76,632.49
T,39179,1,353478780,-1178094855,621812,7271663,3,26,1,-0.239,-4.197,-8.820,-0.029,-0.010,0.007,69.84,1,941.71,49.14,661.39,1,939.59,49.77,632.14
T,40157,1,353478781,-1178094852,621984,7271663,3,25,1,-0.215,-4.164,-8.595,-0.016,-0.012,0.010,69.83,1,941.73,49.15,661.22,1,939.58,49.77,632.22
T,41297,1,353478782,-1178094850,622102,7271663,3,25,1,-0.211,-4.149,-8.662,0.006,-0.015,0.007,69.83,1,941.72,49.15,661.30,1,939.55,49.77,632.49
T,42175,1,353478780,-1178094847,622414,7271663,3,25,1,-0.215,-4.159,-8.743,0.002,-0.013,0.007,69.82,1,941.75,49.15,661.04,1,939.51,49.77,632.85
T,43260,1,353478776,-1178094844,622621,7271663,3,25,1,-0.220,-4.053,-8.853,-0.004,-0.012,0.005,69.86,1,941.73,49.15,661.22,1,939.53,49.78,632.67
T,44311,1,353478774,-1178094838,622892,7271663,3,25,1,-0.230,-4.207,-8.672,0.001,-0.012,0.006,69.84,1,941.71,49.16,661.39,1,939.58,49.78,632.22
T,45189,1,353478771,-1178094835,623056,7271663,3,25,1,-0.225,-4.250,-8.691,0.006,-0.013,0.007,69.83,1,941.73,49.16,661.22,1,939.58,49.79,632.22
T,46172,1,353478768,-1178094829,623201,7271663,3,25,1,-0.220,-4.178,-8.743,0.004,-0.013,0.006,69.82,1,941.70,49.16,661.48,1,939.54,49.79,632.58
T,47252,1,353478768,-1178094820,623353,7271663,3,26,1,-0.220,-4.144,-8.729,0.006,-0.012,0.006,69.82,1,941.73,49.16,661.22,1,939.56,49.79,632.40
T,48297,1,353478769,-1178094812,623483,7271663,3,25,1,-0.244,-4.235,-8.705,0.017,-0.012,0.009,69.82,1,941.71,49.17,661.39,1,939.53,49.79,632.67
T,49173,1,353478766,-1178094806,623636,7271663,3,27,1,-0.220,-4.216,-8.648,0.005,-0.012,0.006,69.82,1,941.71,49.17,661.39,1,939.58,49.80,632.22
T,50153,1,353478768,-1178094805,623441,7271663,3,27,1,-0.230,-4.168,-8.581,-0.001,-0.012,0.007,69.80,1,941.67,49.17,661.74,1,939.54,49.80,632.58
T,51235,1,353478775,-1178094807,623026,7271663,3,27,1,-0.234,-4.278,-8.595,0.006,-0.013,0.006,69.82,1,941.70,49.17,661.48,1,939.56,49.80,632.40
T,52276,1,353478780,-1178094803,622920,7271663,3,28,1,-0.230,-4.278,-8.672,-0.001,-0.012,0.007,69.87,1,941.70,49.18,661.48,1,939.54,49.80,632.58
T,53254,1,353478782,-1178094802,622956,7271663,3,27,1,-0.225,-4.245,-8.681,0.016,-0.013,0.006,69.84,1,941.70,49.18,661.48,1,939.57,49.81,632.31
T,54233,1,353478783,-1178094802,623226,7271663,3,28,1,-0.220,-4.216,-8.686,0.009,-0.012,0.006,69.86,1,941.67,49.18,661.74,1,939.58,49.81,632.22
T,55283,1,353478783,-1178094803,623421,7271663,3,27,1,-0.215,-4.202,-8.729,0.002,-0.012,0.006,69.86,1,941.71,49.19,661.39,1,939.57,49.82,632.31
T,56160,1,353478783,-1178094804,623600,7271663,3,25,1,-0.215,-4.192,-8.710,0.006,-0.013,0.006,69.88,1,941.71,49.19,661.39,1,939.55,49.82,632.49
T,57240,1,353478784,-1178094803,623737,7271663,3,27,1,-0.220,-4.183,-8.676,0.006,-0.012,0.007,69.87,1,941.70,49.20,661.48,1,939.59,49.82,632.14
T,58219,1,353478784,-1178094802,623833,7271663,3,27,1,-0.220,-4.197,-8.700,0.007,-0.013,0.009,69.88,1,941.71,49.20,661.39,1,939.54,49.83,632.58
T,59259,1,353478784,-1178094801,623952,7271663,3,27,1,-0.230,-4.183,-8.715,0.006,-0.013,0.006,69.85,1,941.74,49.21,661.13,1,939.57,49.83,632.31
T,60238,1,353478782,-1178094802,623995,7271663,3,26,1,-0.215,-4.192,-8.691,0.007,-0.013,0.006,69.86,1,941.66,49.21,661.83,1,939.56,49.83,632.40
T,61217,1,353478782,-1178094803,624146,7271663,3,27,1,-0.230,-4.211,-8.729,0.007,-0.015,0.006,69.88,1,941.74,49.21,661.13,1,939.55,49.84,632.49
T,62263,1,353478779,-1178094806,624300,7271663,3,26,1,-0.230,-4.183,-8.715,0.005,-0.013,0.006,69.89,1,941.71,49.22,661.39,1,939.57,49.84,632.31
T,63141,1,353478777,-1178094810,624469,7271663,3,26,1,-0.225,-4.173,-8.710,0.007,-0.015,0.006,69.91,1,941.71,49.22,661.39,1,939.55,49.84,632.49
T,64219,1,353478776,-1178094814,624490,7271663,3,26,1,-0.225,-4.197,-8.729,0.007,-0.013,0.006,69.89,1,941.72,49.22,661.30,1,939.59,49.85,632.14
T,65199,1,353478772,-1178094821,624418,7271663,3,27,1,-0.225,-4.187,-8.705,0.007,-0.013,0.007,69.89,1,941.69,49.22,661.57,1,939.56,49.85,632.40
T,66241,1,353478772,-1178094826,624386,7271663,3,26,1,-0.225,-4.192,-8.758,0.009,-0.013,0.006,69.88,1,941.69,49.22,661.57,1,939.58,49.85,632.22
T,67225,1,353478770,-1178094835,624387,7271663,3,26,1,-0.230,-4.168,-8.777,0.011,-0.015,0.006,69.88,1,941.71,49.23,661.39,1,939.60,49.85,632.05
T,68203,1,353478770,-1178094842,624307,7271663,3,26,1,-0.225,-4.259,-8.648,0.004,-0.013,0.006,69.91,1,941.69,49.23,661.57,1,939.54,49.86,632.58
T,69248,1,353478770,-1178094848,624314,7271663,3,27,1,-0.225,-4.154,-8.743,0.007,-0.013,0.007,69.88,1,941.69,49.23,661.57,1,939.53,49.86,632.67
T,70227,1,353478774,-1178094849,624205,7271663,3,27,1,-0.230,-4.144,-8.763,0.002,-0.012,0.006,69.88,1,941.69,49.23,661.57,1,939.54,49.86,632.58
T,71207,1,353478773,-1178094854,624064,7271663,3,27,1,-0.225,-4.197,-8.715,0.011,-0.013,0.006,69.86,1,941.70,49.24,661.48,1,939.55,49.86,632.49
T,72194,1,353478769,-1178094859,624026,7271663,3,26,1,-0.230,-4.221,-8.734,0.010,-0.013,0.006,69.91,1,941.66,49.24,661.83,1,939.56,49.87,632.40
T,73235,1,353478770,-1178094858,624028,7271663,3,27,1,-0.230,-4.197,-8.672,0.012,-0.013,0.006,69.95,1,941.67,49.24,661.74,1,939.49,49.87,633.02
T,74216,1,353478775,-1178094854,623989,7271663,3,27,1,-0.220,-4.144,-8.739,0.007,-0.013,0.009,69.87,1,941.67,49.24,661.74,1,939.53,49.87,632.67
T,75195,1,353478778,-1178094852,623860,7271663,3,27,1,-0.215,-4.173,-8.743,0.001,-0.013,0.007,69.91,1,941.72,49.25,661.30,1,939.57,49.87,632.31
T,76266,1,353478781,-1178094851,623726,7271663,3,27,1,-0.215,-4.164,-8.652,0.006,-0.012,0.007,69.91,1,941.71,49.25,661.39,1,939.52,49.88,632.76
T,77245,1,353478785,-1178094847,623627,7271663,3,27,1,-0.220,-4.178,-8.724,0.009,-0.012,0.006,69.94,1,941.72,49.25,661.30,1,939.54,49.88,632.58
T,78224,1,353478787,-1178094845,623617,7271663,3,27,1,-0.225,-4.140,-8.844,-0.004,-0.010,0.005,69.93,1,941.73,49.26,661.22,1,939.55,49.88,632.49
T,79205,1,353478790,-1178094842,623644,7271663,3,27,1,-0.230,-4.231,-8.629,0.004,-0.012,0.006,69.94,1,941.71,49.26,661.39,1,939.58,49.89,632.22
T,80247,1,353478789,-1178094843,623715,7271663,3,27,1,-0.225,-4.240,-8.691,0.004,-0.013,0.006,69.96,1,941.73,49.27,661.22,1,939.58,49.89,632.22
T,81231,1,353478795,-1178094840,623619,7271663,3,27,1,-0.230,-4.221,-8.696,0.009,-0.012,0.007,69.95,1,941.72,49.27,661.30,1,939.58,49.89,632.22
T,82218,1,353478799,-1178094841,623614,7271663,3,27,1,-0.215,-4.168,-8.719,0.009,-0.013,0.005,70.00,1,941.73,49.27,661.22,1,939.56,49.90,632.40
T,83263,1,353478802,-1178094838,623609,7271663,3,27,1,-0.220,-4.240,-8.681,0.006,-0.012,0.007,69.95,1,941.73,49.28,661.22,1,939.54,49.90,632.58
T,84144,1,353478803,-1178094836,623682,7271663,3,26,1,-0.220,-4.187,-8.710,0.002,-0.013,0.007,69.96,1,941.72,49.27,661.30,1,939.52,49.90,632.76
T,85222,1,353478807,-1178094835,623560,7271663,3,27,1,-0.225,-4.235,-8.686,0.010,-0.015,0.007,69.95,1,941.68,49.28,661.66,1,939.56,49.91,632.40
T,86206,1,353478809,-1178094832,623528,7271663,3,27,1,-0.225,-4.240,-8.710,0.007,-0.013,0.007,69.94,1,941.68,49.28,661.66,1,939.52,49.91,632.76
T,87258,1,353478811,-1178094830,623377,7271663,3,27,1,-0.225,-4.254,-8.700,0.002,-0.012,0.007,69.95,1,941.71,49.29,661.39,1,939.54,49.91,632.58
T,88240,1,353478814,-1178094829,623366,7271663,3,28,1,-0.215,-4.135,-8.609,0.004,-0.013,0.007,69.94,1,941.67,49.29,661.74,1,939.51,49.91,632.85
T,89217,1,353478816,-1178094831,623295,7271663,3,28,1,-0.230,-4.250,-8.705,0.006,-0.013,0.006,69.99,1,941.69,49.28,661.57,1,939.55,49.91,632.49
T,90257,1,353478818,-1178094831,623327,7271663,3,27,1,-0.230,-4.221,-8.667,0.009,-0.013,0.006,69.93,1,941.66,49.28,661.83,1,939.53,49.91,632.67
T,91235,1,353478820,-1178094830,623361,7271663,3,27,1,-0.225,-4.221,-8.724,0.006,-0.013,0.006,69.98,1,941.72,49.28,661.30,1,939.53,49.91,632.67
T,92214,1,353478822,-1178094826,623296,7271663,3,27,1,-0.230,-4.207,-8.672,0.002,-0.013,0.006,69.99,1,941.66,49.29,661.83,1,939.54,49.91,632.58
T,93193,1,353478821,-1178094814,622991,7271663,3,28,1,-0.225,-4.245,-8.710,0.007,-0.013,0.006,70.03,1,941.66,49.29,661.83,1,939.53,49.92,632.67
T,94234,1,353478822,-1178094800,622931,7271663,3,27,1,-0.234,-4.207,-8.700,0.009,-0.013,0.007,69.96,1,941.68,49.29,661.66,1,939.53,49.93,632.67
T,95212,1,353478823,-1178094790,622799,7271663,3,27,1,-0.211,-4.269,-8.662,0.006,-0.013,0.009,69.95,1,941.66,49.30,661.83,1,939.51,49.93,632.85
T,96195,1,353478823,-1178094787,622767,7271663,3,27,1,-0.220,-4.216,-8.719,-0.001,-0.013,0.006,69.98,1,941.68,49.30,661.66,1,939.52,49.93,632.76
T,97239,1,353478823,-1178094783,622757,7271663,3,25,1,-0.225,-4.154,-8.667,0.005,-0.013,0.006,69.96,1,941.68,49.30,661.66,1,939.52,49.93,632.76
T,98222,1,353478830,-1178094775,622747,7271663,3,27,1,-0.230,-4.250,-8.686,0.012,-0.013,0.007,70.01,1,941.72,49.31,661.30,1,939.50,49.93,632.93
T,99201,1,353478831,-1178094771,622727,7271663,3,26,1,-0.215,-4.221,-8.672,0.004,-0.012,0.007,69.99,1,941.65,49.31,661.92,1,939.52,49.93,632.76
T,100181,1,353478832,-1178094768,622649,7271663,3,26,1,-0.234,-4.283,-8.729,-0.001,-0.012,0.007,70.06,1,941.69,49.30,661.57,1,939.52,49.93,632.76
T,101232,1,353478832,-1178094766,622569,7271663,3,26,1,-0.230,-4.192,-8.691,-0.001,-0.013,0.007,70.00,1,941.68,49.30,661.66,1,939.54,49.93,632.58
T,102216,1,353478837,-1178094765,622500,7271663,3,26,1,-0.225,-4.221,-8.691,0.006,-0.013,0.007,70.00,1,941.70,49.30,661.48,1,939.50,49.93,632.93
T,103201,1,353478846,-1178094760,622394,7271663,3,26,1,-0.225,-4.226,-8.681,0.004,-0.013,0.006,70.04,1,941.69,49.31,661.57,1,939.56,49.94,632.40
T,104241,1,353478852,-1178094754,622423,7271663,3,27,1,-0.230,-4.192,-8.648,0.005,-0.015,0.006,70.00,1,941.64,49.31,662.01,1,939.51,49.94,632.85
T,105219,1,353478856,-1178094751,622435,7271663,3,27,1,0.000,-4.901,-7.935,0.049,-0.011,-0.001,70.01,1,941.70,49.31,661.48,1,939.54,49.94,632.58
T,106197,1,353478861,-1178094746,622470,7271663,3,27,1,-0.321,-4.144,-8.820,0.050,-0.018,0.010,70.01,1,941.69,49.31,661.57,1,939.51,49.94,632.85
T,107176,1,353478867,-1178094738,622429,7271663,3,26,1,-0.321,-4.149,-8.696,-0.009,-0.013,0.010,69.96,1,941.63,49.31,662.10,1,939.50,49.95,632.93
T,108226,1,353478868,-1178094737,622479,7271663,3,25,1,-0.421,-4.307,-8.911,-0.006,-0.029,0.016,70.03,1,941.63,49.32,662.10,1,939.45,49.95,633.38
T,109212,1,353478866,-1178094737,622434,7271663,3,26,1,-0.660,-4.077,-8.504,-0.004,-0.029,0.013,70.03,1,941.62,49.32,662.19,1,939.50,49.95,632.93
T,110198,1,353478864,-1178094737,622480,7271663,3,26,1,-0.737,-4.197,-8.772,0.006,-0.022,0.010,70.04,1,941.67,49.32,661.74,1,939.49,49.96,633.02
T,111239,1,353478864,-1178094738,622603,7271663,3,26,1,-0.895,-4.178,-8.676,0.010,-0.031,0.015,70.06,1,941.61,49.33,662.28,1,939.49,49.96,633.02
T,112217,1,353478865,-1178094738,622574,7271663,3,26,1,-1.038,-4.135,-8.585,0.006,-0.022,0.011,70.07,1,941.59,49.33,662.45,1,939.45,49.97,633.38
T,113200,1,353478867,-1178094737,622612,7271663,3,26,1,-1.115,-4.187,-8.705,0.005,-0.028,0.012,69.99,1,941.61,49.34,662.28,1,939.45,49.97,633.38
T,114180,1,353478869,-1178094740,622666,7271663,3,26,1,-1.321,-4.116,-8.576,0.006,-0.024,0.012,70.01,1,941.61,49.34,662.28,1,939.44,49.98,633.46
T,115324,1,353478871,-1178094741,622741,7271663,3,27,1,-1.407,-4.183,-8.724,0.009,-0.023,0.011,70.02,1,941.62,49.35,662.19,1,939.47,49.98,633.20
T,116201,1,353478876,-1178094738,622746,7271663,3,27,1,-1.536,-4.120,-8.648,0.007,-0.028,0.013,69.98,1,941.56,49.33,662.72,1,939.42,49.96,633.64
T,117180,1,353478880,-1178094735,622676,7271663,3,28,1,-1.641,-4.216,-8.566,0.040,-0.005,0.001,70.03,1,941.60,49.35,662.36,1,939.42,49.97,633.64
T,118227,1,353478883,-1178094737,622543,7271663,3,28,1,-1.641,-4.164,-8.384,0.006,-0.006,0.002,70.00,1,941.54,49.35,662.89,1,939.43,49.98,633.55
T,119207,1,353478882,-1178094741,622373,7271663,3,29,1,-1.637,-4.058,-8.657,0.004,-0.018,0.007,69.98,1,941.59,49.36,662.45,1,939.44,49.99,633.46
T,120190,1,353478881,-1178094745,622183,7271663,3,28,1,-1.651,-4.149,-8.609,0.015,-0.009,0.004,70.00,1,941.59,49.36,662.45,1,939.47,50.00,633.20
T,121268,1,353478881,-1178094750,621972,7271663,3,28,1,-1.766,-4.580,-8.710,0.015,-0.049,0.009,70.02,1,941.54,49.36,662.89,1,939.41,50.00,633.73
T,122311,1,353478879,-1178094754,621783,7271663,3,27,1,-1.814,-3.991,-8.327,0.000,-0.034,0.016,70.00,1,941.60,49.37,662.36,1,939.41,50.00,633.73
T,123187,1,353478886,-1178094754,621599,7271663,3,28,1,-1.924,-4.020,-8.466,0.027,-0.015,0.007,69.99,1,941.56,49.37,662.72,1,939.43,50.00,633.55
T,124168,1,353478888,-1178094757,621598,7271663,3,27,1,-2.034,-4.073,-8.595,-0.009,-0.031,0.015,70.03,1,941.52,49.37,663.07,1,939.40,50.00,633.82
T,125315,1,353478888,-1178094759,621678,7271663,3,28,1,-2.173,-3.967,-8.375,-0.002,-0.022,0.011,69.99,1,941.52,49.35,663.07,1,939.42,49.99,633.64
T,126200,1,353478888,-1178094759,621818,7271663,3,26,1,-2.225,-4.082,-8.691,0.010,-0.022,0.012,69.95,1,941.55,49.36,662.80,1,939.40,49.99,633.82
T,127179,1,353478891,-1178094763,621937,7271663,3,26,1,-2.393,-3.958,-8.413,0.013,-0.027,0.012,70.05,1,941.53,49.36,662.98,1,939.41,50.00,633.73
T,128158,1,353478891,-1178094767,621965,7271663,3,27,1,-2.455,-4.030,-8.581,0.005,-0.023,0.011,70.05,1,941.54,49.37,662.89,1,939.41,50.01,633.73
T,129305,1,353478893,-1178094768,621963,7271663,3,26,1,-2.594,-3.986,-8.456,0.002,-0.027,0.012,70.08,1,941.53,49.38,662.98,1,939.40,50.01,633.82
T,130182,1,353478898,-1178094771,621888,7271663,3,27,1,-2.704,-3.996,-8.447,0.011,-0.021,0.011,69.96,1,941.53,49.38,662.98,1,939.41,50.01,633.73
T,131161,1,353478903,-1178094772,622126,7271663,3,27,1,-2.809,-3.934,-8.408,0.002,-0.026,0.012,69.97,1,941.50,49.38,663.25,1,939.38,50.02,634.00
T,132305,1,353478904,-1178094773,622266,7271663,3,27,1,-2.910,-3.939,-8.365,0.006,-0.021,0.011,70.04,1,941.53,49.38,662.98,1,939.39,50.02,633.91
T,133186,1,353478903,-1178094777,622402,7271663,3,27,1,-3.015,-3.967,-8.480,0.007,-0.026,0.012,70.02,1,941.49,49.38,663.34,1,939.32,50.02,634.53
T,134165,1,353478907,-1178094773,622358,7271663,3,26,1,-3.125,-3.896,-8.298,0.006,-0.023,0.011,70.07,1,941.50,49.38,663.25,1,939.33,50.01,634.44
T,135146,1,353478909,-1178094770,622290,7271663,3,26,1,-3.211,-3.886,-8.294,0.007,-0.024,0.011,70.08,1,941.51,49.37,663.16,1,939.37,50.01,634.08
T,136293,1,353478912,-1178094769,622231,7271663,3,25,1,-3.321,-3.833,-8.222,0.004,-0.023,0.012,70.02,1,941.50,49.37,663.25,1,939.33,50.01,634.44
T,137171,1,353478920,-1178094767,621901,7271663,3,26,1,-3.422,-3.900,-8.260,0.005,-0.024,0.011,70.03,1,941.51,49.37,663.16,1,939.35,50.02,634.26
T,138256,1,353478923,-1178094758,621855,7271663,3,26,1,-3.532,-3.800,-8.145,0.004,-0.022,0.010,70.02,1,941.51,49.38,663.16,1,939.34,50.02,634.35
T,139303,1,353478926,-1178094751,621886,7271663,3,25,1,-3.613,-3.872,-8.236,0.006,-0.022,0.011,70.06,1,941.52,49.38,663.07,1,939.33,50.03,634.44
T,140190,1,353478927,-1178094749,621963,7271663,3,25,1,-3.733,-3.785,-8.097,0.005,-0.024,0.011,70.07,1,941.46,49.39,663.60,1,939.31,50.03,634.62
T,141170,1,353478931,-1178094742,621958,7271663,3,25,1,-3.819,-3.738,-8.140,0.007,-0.022,0.011,70.06,1,941.44,49.39,663.78,1,939.34,50.03,634.35
T,142258,1,353478935,-1178094736,621999,7271663,3,25,1,-3.924,-3.747,-8.030,0.009,-0.023,0.010,70.02,1,941.43,49.39,663.87,1,939.34,50.03,634.35
T,143306,1,353478932,-1178094739,622089,7271663,3,26,1,-4.010,-3.718,-8.049,0.005,-0.022,0.012,70.04,1,941.44,49.39,663.78,1,939.27,50.03,634.97
T,144191,1,353478931,-1178094739,622164,7271663,3,27,1,-4.106,-3.685,-7.954,0.005,-0.023,0.012,70.07,1,941.44,49.40,663.78,1,939.34,50.04,634.35
T,145273,1,353478932,-1178094739,622103,7271663,3,27,1,-4.187,-3.680,-7.973,0.005,-0.023,0.011,70.05,1,941.43,49.40,663.87,1,939.30,50.04,634.70
T,146315,1,353478931,-1178094738,622142,7271663,3,27,1,-4.288,-3.651,-7.896,0.007,-0.023,0.011,70.07,1,941.44,49.41,663.78,1,939.30,50.04,634.70
T,147194,1,353478933,-1178094736,622254,7271663,3,27,1,-4.360,-3.628,-7.906,0.006,-0.023,0.011,70.04,1,941.45,49.41,663.69,1,939.28,50.05,634.88
T,148172,1,353478936,-1178094732,622385,7271663,3,27,1,-4.475,-3.618,-7.825,0.006,-0.023,0.011,70.09,1,941.43,49.42,663.87,1,939.31,50.06,634.62
T,149251,1,353478937,-1178094731,622445,7271663,3,27,1,-4.566,-3.628,-7.834,0.006,-0.022,0.010,70.08,1,941.43,49.42,663.87,1,939.34,50.07,634.35
T,150291,1,353478939,-1178094731,622487,7271663,3,27,1,-4.642,-3.570,-7.810,0.006,-0.023,0.011,70.00,1,941.41,49.43,664.04,1,939.30,50.07,634.70
T,151173,1,353478942,-1178094726,622558,7271663,3,27,1,-4.723,-3.575,-7.753,0.007,-0.022,0.011,70.09,1,941.43,49.43,663.87,1,939.28,50.07,634.88
T,152254,1,353478942,-1178094724,622599,7271663,3,27,1,-4.829,-3.556,-7.724,0.006,-0.023,0.012,70.03,1,941.39,49.43,664.22,1,939.28,50.07,634.88
T,153241,1,353478945,-1178094722,622619,7271663,3,26,1,-4.905,-3.517,-7.691,0.005,-0.023,0.011,70.08,1,941.43,49.43,663.87,1,939.27,50.08,634.97
T,154280,1,353478948,-1178094718,622556,7271663,3,26,1,-4.987,-3.484,-7.619,0.006,-0.022,0.011,70.09,1,941.41,49.44,664.04,1,939.27,50.08,634.97
T,155160,1,353478949,-1178094720,622467,7271663,3,26,1,-5.082,-3.479,-7.595,0.007,-0.021,0.010,70.04,1,941.39,49.44,664.22,1,939.29,50.08,634.79
